Pressure, Temperature, Reynolds, Drag_Coefficient, Drag_Coefficient_Error_Pos, Drag_Coefficient_Error_Neg
9, 30, 91450.4005348642, 18.8206494302446, 0.22784420833039, 0.22784420833039
9, 30, 9600.2287009917, 17.0940855567971, 18.8769483727188, 18.8769483727188
9, 30, 98040.7874556726, 18.6728583096816, 0.202036909770865, 0.202036909770865
9, 30, 65157.2349669312, 19.3095953696594, 0.418204806276939, 0.418204806276939
9, 30, 49337.9741089259, 19.8795961310237, 0.722764642682136, 0.722764642682136
9, 30, 16355.6858822063, 21.6588058718839, 6.48504129977849, 6.48504129977849
9, 30, 68662.1156767816, 19.2826158073702, 0.379906394244728, 0.379906394244728
9, 30, 88193.8884388812, 18.8512612583498, 0.241587510229639, 0.241587510229639
9, 30, 52897.2052503459, 19.7556610691345, 0.63682805169426, 0.63682805169426
9, 30, 45361.2310463829, 19.9283864286216, 0.857322986465614, 0.857322986465614
9, 30, 35629.1264772871, 20.5353610928944, 1.37414627818398, 1.37414627818398
9, 30, 95043.2938482082, 18.7591297797428, 0.213416328531058, 0.213416328531058
9, 30, 61640.0699375336, 19.465583058119, 0.466703246588861, 0.466703246588861
9, 30, 58751.4523099524, 19.4914842217088, 0.508777380354382, 0.508777380354382
9, 30, 41886.8624922781, 20.2213805881069, 0.988945957346638, 0.988945957346638
9, 30, 71787.1923690876, 19.183171510498, 0.349958881481435, 0.349958881481435
9, 30, 55566.6189222481, 19.6884300185046, 0.57492765151384, 0.57492765151384
9, 30, 22414.4905749956, 21.4563894028588, 3.46477796770842, 3.46477796770842
9, 30, 29891.5116045859, 20.8072061681644, 1.95317002720734, 1.95317002720734
9, 30, 81648.5561586976, 18.9338775855205, 0.276308105964505, 0.276308105964505
9, 30, 84915.3205825358, 18.9018965006065, 0.25775055811768, 0.25775055811768
9, 30, 12748.6992906755, 20.956252098279, 10.6964468685791, 10.6964468685791
9, 30, 19702.7655801537, 21.3720690437585, 4.47489311485873, 4.47489311485873
9, 30, 78363.5688516276, 19.0751370068433, 0.297546198952902, 0.297546198952902
9, 30, 32704.8269868436, 20.8291059476584, 1.63441062956786, 1.63441062956786
9, 30, 39454.0447791576, 20.3956969160794, 1.11850790152941, 1.11850790152941
9, 30, 25852.5857440217, 21.5131319639883, 2.60715319679087, 2.60715319679087
9, 30, 75047.302268985, 19.1129078534408, 0.322186799342343, 0.322186799342343
13.2, 45, 90364.8194858743, 18.851972315629, 0.305217342375055, 0.305217342375055
13.2, 45, 8076.2640578434, 24.0111558434839, 35.8029501848227, 35.8029501848227
13.2, 45, 50772.0591562781, 19.7992917932574, 0.928394801097195, 0.928394801097195
13.2, 45, 66195.4322434412, 19.2914810641625, 0.550235869227531, 0.550235869227531
13.2, 45, 47363.6661097263, 20.0685366715685, 1.0630574120011, 1.0630574120011
13.2, 45, 19902.7764508919, 21.2759580135189, 5.98521694141482, 5.98521694141482
13.2, 45, 39900.5151261104, 20.5397185970455, 1.48849529409474, 1.48849529409474
13.2, 45, 74866.732832787, 19.0900594677447, 0.434436734327329, 0.434436734327329
13.2, 45, 82545.9819399738, 18.9439559950128, 0.361002096005894, 0.361002096005894
13.2, 45, 106171.719883028, 18.6283535384433, 0.229496342278619, 0.229496342278619
13.2, 45, 94122.014260214, 18.7599655960001, 0.282619972807026, 0.282619972807026
13.2, 45, 55431.0307804117, 19.61223734667, 0.783444980800781, 0.783444980800781
13.2, 45, 59322.7541290298, 19.6319108649163, 0.684931628377185, 0.684931628377185
13.2, 45, 114221.038645558, 18.4694576373584, 0.203347977101083, 0.203347977101083
13.2, 45, 78925.5166005358, 19.0282740070502, 0.393135093952, 0.393135093952
13.2, 45, 63096.2993854333, 19.3936301169532, 0.605948000756784, 0.605948000756784
13.2, 45, 86358.0944477848, 18.8993234493532, 0.331341638288088, 0.331341638288088
13.2, 45, 110454.377590452, 18.567036984956, 0.214660611248231, 0.214660611248231
13.2, 45, 35864.0452240558, 20.7795087552391, 1.84052287954811, 1.84052287954811
13.2, 45, 102270.885599624, 18.6534024509903, 0.244662856478561, 0.244662856478561
13.2, 45, 15625.3491197509, 23.0212986293325, 9.68121139016299, 9.68121139016299
13.2, 45, 98275.2673711873, 18.6797685109276, 0.262281703155193, 0.262281703155193
